Country	Range	Rate_USD
Ireland	35376405881x	0.05
Ireland	35376357381x	0.05
Ireland	35376635751x	0.05
Ireland	35376064671x	0.05
Ireland	35375625791x	0.05
Ireland	35338344751x	0.05
Ireland	35358446401x	0.05
Ireland	35350860121x	0.05
Ireland	35370051411x	0.05
Ireland	35370066831x	0.05
Ireland	35389961391x	0.05
Ireland	35389957681x	0.05
Ireland	35385179901x	0.02
Ireland	35385191881x	0.02
Ireland	35383660261x	0.02
Ireland	35383380271x	0.02
Ireland	35387756161x	0.05
Ireland	35387770261x	0.05
Ireland	35386025221x	0.02
Ireland	35311031651x	0.02
Ireland	35318507301x	0.02
Ireland	35323428000 to 353234280004	0.001
Ireland	353870590000 to 353870590004	0.004
France	3389109531x	0.04
France	3364003421x	0.04
France	3393476731x	0.04
France	3385286831x	0.04
France	3364497741x	0.04
France	3377532681x	0.04
France	3371961121x	0.04
France	3360820621x	0.04
France	3364983071x	0.04
France	3376914371x	0.04
France	3365200391x	0.04
France	3366951431x	0.04
France	3375422011x	0.04
Germany	491871028381x	0.08
Germany	491357620431x	0.08
Germany	498185453941x	0.04
Germany	492404829391x	0.04
Germany	491522549191x	0.02
Germany	491628800141x	0.02
Germany	491513866201x	0.02
Germany	491751285141x	0.02
Germany	497005837381x	0.05
Germany	491791410911x	0.02
Germany	491793185771x	0.02
Germany	491521793681x	0.04
Germany	491521325121x	0.04
Germany	491778209131x	0.02
Germany	491557572641x	0.02
Italy	39606552181x	0.06
Italy	39458020111x	0.06
Italy	39380472941x	0.02
Italy	39389833451x	0.02
Italy	39340669161x	0.02
Italy	39383559961x	0.02
Italy	39361433461x	0.02
Italy	39385691321x	0.02
Italy	39313271021x	0.06
Italy	39350348651x	0.06
Italy	39351173171x	0.06
Italy	39739760461x	0.02
Italy	39390304721x	0.02
Italy	39310577491x	0.02
Italy	39310342361x	0.02
Spain	3424250891x	0.04
Spain	3472231021x	0.04
Spain	3400556761x	0.04
Spain	3472271261x	0.04
Spain	3460353061x	0.02
Spain	3466441351x	0.02
Spain	3466861281x	0.02
Spain	3467925731x	0.02
Spain	3461444791x	0.04
Spain	3460542111x	0.02
Spain	3465747931x	0.02
Spain	3463124841x	0.04
Spain	3463101561x	0.04
Spain	3491289971x	0.02
Spain	3491190191x	0.02
Spain	3482888161x	0.04
Spain	3493063091x	0.02
Spain	3493786671x	0.02
Portgual	35144164231x	0.02
Portgual	35179901921x	0.02
Portgual	35122261451x	0.02
Portgual	35122362341x	0.02
Portgual	35192198181x	0.02
Portgual	35192472131x	0.02
Portgual	35192730841x	0.02
Portgual	35192043231x	0.06
Portgual	35193935351x	0.02
Portgual	35193698931x	0.02
Portgual	35193999021x	0.02
Portgual	35193006041x	0.02
Portgual	35192334231x	0.06
Portgual	35192606561x	0.02
Portgual	35192051941x	0.06
Portgual	35192227251x	0.06
Portgual	35129127891x	0.02
Portgual	35121591571x	0.02
Portgual	35121027591x	0.02
Portgual	35129564171x	0.06
Netherlands	3174152141x	0.05
Netherlands	3165569391x	0.02
Netherlands	3165449001x	0.02
Netherlands	3162862551x	0.02
Netherlands	3163225221x	0.02
Netherlands	3164528521x	0.05
Netherlands	3197089671x	0.02
Netherlands	3197083851x	0.02
Netherlands	3166497711x	0.05
Netherlands	3197051271x	0.05
Netherlands	3197058461x	0.05
Netherlands	3168761751x	0.05
Netherlands	3168612231x	0.05
Netherlands	3197021401x	0.02
Netherlands	3162274501x	0.02
Belgium	3278520601x	0.05
Belgium	3270209251x	0.05
Belgium	3200247121x	0.05
Belgium	3202486131x	0.05
Belgium	3246851371x	0.02
Belgium	3246827261x	0.02
Belgium	3246062121x	0.02
Belgium	3246086401x	0.02
Belgium	3246300741x	0.05
Belgium	3249302891x	0.02
Belgium	3249862661x	0.02
Belgium	3246585461x	0.05
Belgium	3246599921x	0.05
Belgium	3248774111x	0.05
Belgium	3248955301x	0.05
Switzerland	4144836281x	0.025
Switzerland	4144185381x	0.025
Switzerland	4177066171x	0.025
Switzerland	4186077231x	0.025
Switzerland	4177237741x	0.025
Switzerland	4174425511x	0.06
Switzerland	4174648651x	0.06
Switzerland	4179978481x	0.06
Switzerland	4176990721x	0.06
Switzerland	4186078201x	0.025
Switzerland	4177803881x	0.06
Switzerland	4177811511x	0.06
Switzerland	4186519741x	0.06
Switzerland	4186712121x	0.06
Switzerland	4178409701x	0.06
Switzerland	4178417491x	0.06
Switzerland	4122308901x	0.025
Switzerland	4122921231x	0.025
Switzerland	4180092221x	0.06
Switzerland	4180060881x	0.06
Switzerland	4158026801x	0.06
Switzerland	4158561381x	0.06
Austria	43118528231x	0.02
Austria	43190284591x	0.02
Austria	43964219351x	0.055
Austria	43780891991x	0.055
Austria	43530242261x	0.055
Austria	43327519441x	0.055
Austria	43676990111x	0.02
Austria	43870341181x	0.02
Austria	43644846161x	0.055
Austria	43688648421x	0.055
Austria	43688649471x	0.055
Austria	43699303551x	0.02
Austria	43681831591x	0.02
Austria	43664643181x	0.02
Austria	43681776401x	0.02
Sweden	4683629311x	0.02
Sweden	4683079981x	0.02
Sweden	4656924311x	0.06
Sweden	4608885201x	0.06
Sweden	4676364031x	0.02
Sweden	4672443241x	0.02
Sweden	4672528221x	0.02
Sweden	4671986321x	0.06
Sweden	4671944511x	0.06
Sweden	4676464831x	0.06
Sweden	4676956111x	0.06
Sweden	4672314091x	0.02
Sweden	4667542641x	0.02
Sweden	4676723971x	0.06
Sweden	4679011221x	0.06
Sweden	4610151201x	0.06
Sweden	4610453681x	0.06
Norway	478136461x	0.12
Norway	478148921x	0.12
Norway	471539811x	0.12
Norway	477509811x	0.12
Norway	470214371x	0.12
Norway	471882611x	0.12
Norway	475907181x	0.12
Norway	474049601x	0.12
Norway	479163871x	0.12
Norway	479795031x	0.12
Norway	479898961x	0.12
Norway	474097451x	0.12
Norway	479126911x	0.12
Denmark	456684301x	0.045
Denmark	450273201x	0.045
Denmark	454282901x	0.02
Denmark	455214511x	0.02
Denmark	454181211x	0.02
Denmark	459114881x	0.02
Denmark	459123691x	0.02
Denmark	452931111x	0.02
Denmark	459127841x	0.06
Denmark	459374121x	0.06
Denmark	454266301x	0.015
Denmark	454295681x	0.015
Finland	35871694311x	0.06
Finland	35871708141x	0.06
Finland	35877722831x	0.06
Finland	35865254901x	0.06
Finland	35840360781x	0.06
Finland	35849517601x	0.06
Finland	35849829871x	0.06
Finland	35850892211x	0.06
Finland	35846500241x	0.06
Finland	35845765341x	0.06
Finland	35843217861x	0.06
Poland	4872977911x	0.08
Poland	4878026791x	0.08
Poland	4830729231x	0.08
Poland	4829121331x	0.08
Poland	4872815561x	0.02
Poland	4873656591x	0.02
Poland	4878999241x	0.02
Poland	4878601711x	0.02
Poland	4857956631x	0.02
Poland	4873678561x	0.02
Poland	4888459691x	0.08
Poland	4873931161x	0.08
Poland	4857266751x	0.02
Poland	4878927941x	0.02
Poland	4888110791x	0.08
Poland	4872039761x	0.08
Czech republic	42082118981x	0.08
Czech republic	42083902751x	0.015
Czech republic	42041911641x	0.015
Czech republic	42091004881x	0.08
Czech republic	42091004681x	0.08
Czech republic	42025294101x	0.015
Czech republic	42023621591x	0.015
Czech republic	42096717151x	0.015
Czech republic	42077500691x	0.015
Czech republic	42096480461x	0.015
Czech republic	42060239861x	0.015
Czech republic	42060209921x	0.015
Czech republic	42079368611x	0.015
Czech republic	42079184091x	0.015
Hungary	3685015431x	0.015
Hungary	3686250001x	0.015
Hungary	3670237061x	0.015
Hungary	3670642731x	0.015
Hungary	3630762551x	0.015
Hungary	3630269761x	0.015
Hungary	3631362411x	0.015
Hungary	3631204671x	0.015
Hungary	3620491191x	0.015
Hungary	3620615371x	0.015
Hungary	3616647741x	0.015
Hungary	3611782761x	0.015
Romania	4092375561x	0.025
Romania	4026407031x	0.025
Romania	4072859641x	0.025
Romania	4072091431x	0.025
Romania	4074468421x	0.025
Romania	4075217181x	0.025
Romania	4078847561x	0.025
Romania	4078692361x	0.025
Romania	4078692361x	0.025
Romania	4076319111x	0.025
Romania	4021374821x	0.025
Romania	4021312811x	0.025
Romania	4034003021x	0.025
Romania	4032327681x	0.025
Bulgaria	3597160831x	0.02
Bulgaria	3592245901x	0.02
Bulgaria	35987374181x	0.07
Bulgaria	35987547721x	0.07
Bulgaria	35998861151x	0.07
Bulgaria	35998863451x	0.07
Bulgaria	35989971541x	0.07
Bulgaria	35989468921x	0.07
Greece	30700500051x	0.08
Greece	30699022991x	0.08
Greece	30416431501x	0.015
Greece	30287086231x	0.015
Greece	30699290771x	0.015
Greece	30699886851x	0.015
Greece	30694343111x	0.015
Greece	30695975491x	0.015
Greece	30698944141x	0.015
Greece	30697937441x	0.015
Croatia	38598666011x	0.07
Croatia	38595511111x	0.06
Croatia	38591792101x	0.07
Croatia	3851795511x	0.02
Croatia	3851583891x	0.02
Croatia	38591179951x	0.06
Croatia	38592283751x	0.06
Croatia	38597225511x	0.06
Croatia	38597905041x	0.06
Croatia	38595544441x	0.06
Croatia	38590169801x	0.06
Croatia	38594454771x	0.06
Croatia	38596561521x	0.06
Slovenia	3869823931x	0.025
